Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
2,2,2,2,2,10,14,16,24,26
1,1,5,16,19,1,1,1,31,24
4,2,5,10,10,17,16,16,4,16
2,2,6,5,5,20,10,25,24,1
1,1,4,4,10,12,14,16,18,20
0,0,0,0,11,4,0,15,35,35
0,1,10,19,2,22,2,4,20,20
2,5,5,9,11,10,26,28,2,2
1,1,1,2,1,15,21,26,31,1
4,5,3,1,6,25,36,2,9,9
2,2,9,12,14,16,2,2,2,39
1,4,5,5,5,10,10,20,20,20
0,2,2,3,15,15,15,15,18,15
1,1,1,2,8,10,20,25,30,2
1,4,0,0,0,0,27,0,34,34
1,1,1,1,1,14,17,19,21,24
1,0,0,0,0,0,24,25,25,25
0,0,4,0,11,0,30,31,0,24
3,6,2,12,2,18,2,25,28,2
2,5,5,17,19,7,7,6,18,14
0,0,0,8,18,19,21,30,3,1
1,5,1,1,17,23,24,25,1,2
1,0,0,14,20,2,2,2,29,30
1,1,1,1,1,17,18,19,20,21
0,0,0,0,0,0,20,23,27,30
1,2,4,6,8,11,14,16,18,20
4,5,5,6,7,9,11,16,27,10
1,10,4,10,4,4,22,16,13,16
0,0,0,0,0,10,10,10,35,35
1,3,4,15,15,16,16,26,2,2
1,1,1,1,1,19,19,19,19,19
1,1,1,1,1,19,19,19,19,19
1,3,6,8,10,12,14,16,15,15
0,1,1,10,12,13,16,17,15,15
1,1,2,5,8,11,14,17,19,22
3,3,6,13,6,18,9,11,14,17
1,4,4,5,30,5,7,7,7,30
1,1,1,1,19,19,2,20,34,2
1,3,6,8,13,14,15,16,1,23
0,0,1,17,22,2,1,1,33,23
5,7,9,3,8,5,27,31,2,3
0,9,0,0,2,1,29,1,31,27
1,1,1,11,1,1,26,28,29,1
2,2,2,17,2,18,5,18,32,2
1,1,1,1,1,23,23,24,24,1
0,0,0,0,11,11,11,21,21,25
2,2,3,3,10,12,14,16,18,20
1,7,1,1,14,18,21,33,2,2
2,3,3,6,6,10,10,20,20,20
5,5,5,5,10,10,20,20,10,10
1,2,10,6,21,1,16,11,11,21
2,2,3,5,5,8,10,15,20,30
2,1,5,7,9,13,1,18,20,24
0,0,5,18,20,1,25,26,3,2
2,3,4,6,10,18,24,1,31,1
1,1,1,1,1,18,21,26,29,1
1,0,1,1,25,1,1,1,35,34
3,3,3,6,6,25,25,27,1,1
6,6,6,20,20,20,5,5,6,6
1,2,3,4,9,11,13,16,19,22
1,0,0,0,0,9,10,10,35,35
0,0,0,10,0,0,0,30,25,35
0,3,0,18,0,17,9,15,5,33
1,0,1,17,20,1,2,23,32,3
1,2,2,11,11,11,8,18,18,18
1,2,4,12,16,7,14,14,17,13
6,6,6,11,6,16,6,6,16,21
2,2,5,10,14,15,20,20,10,2
2,1,0,0,0,0,0,28,33,36
0,0,0,5,5,15,15,15,20,25
0,0,0,5,5,15,15,15,20,25
0,6,0,0,0,0,0,33,33,28
0,5,7,9,11,21,0,21,0,26
2,0,6,0,2,0,23,36,0,31
1,1,1,1,10,10,2,20,20,34
1,1,1,1,23,23,23,23,2,2
1,2,4,6,9,12,14,16,17,19
1,1,1,1,20,20,24,1,1,30
1,2,8,16,16,5,14,15,18,5
0,0,0,5,7,8,13,15,20,32
5,0,0,12,0,13,0,30,35,5
0,5,9,12,21,19,5,5,0,24
1,4,1,8,1,13,15,17,19,21
2,2,4,6,6,10,11,14,17,28
0,0,8,12,13,13,13,13,14,14
3,5,7,9,11,2,16,18,15,14
0,0,12,0,0,22,0,0,34,32
1,3,5,7,10,12,0,19,23,20
2,5,5,1,23,1,1,25,35,2
1,2,3,4,15,15,15,15,15,15
1,2,1,12,22,4,8,10,23,17
1,2,1,12,22,4,8,10,23,17
4,0,1,1,1,0,0,31,31,31
1,2,2,2,2,21,22,23,25,0
1,1,2,9,15,8,18,21,0,25
1,4,5,11,12,0,15,12,19,21
2,2,2,15,15,15,15,2,2,30
2,3,4,5,5,15,15,25,25,1
0,0,4,13,16,8,14,14,17,14
0,2,1,1,19,22,25,28,1,1
5,5,5,5,5,10,30,30,2,3
1,1,1,1,17,20,1,26,31,1
6,7,9,12,15,18,23,3,3,4
0,0,13,13,14,14,12,12,11,11
6,1,1,1,1,1,1,28,30,30
1,1,1,1,1,19,25,25,25,1
2,2,2,4,5,15,15,15,20,20
1,0,0,14,22,2,2,24,33,2
3,0,0,0,0,0,0,31,33,33
0,0,0,0,10,12,15,18,21,24
2,3,4,5,9,9,11,19,19,19
2,3,5,13,17,2,14,15,17,12
1,2,2,2,19,15,15,16,1,27
1,1,1,1,1,15,20,20,20,20
3,2,5,18,9,18,6,15,6,18
1,1,1,1,11,12,15,17,19,22
0,0,0,5,10,10,15,20,22,18
2,2,2,2,2,12,2,42,12,22
0,0,1,1,15,20,20,1,1,41
2,2,2,8,9,10,12,22,31,2
1,1,1,6,7,20,27,35,1,1
1,4,9,10,1,13,16,17,14,15
1,1,1,7,10,12,14,16,18,20
1,6,0,10,0,15,5,19,21,23
1,1,8,19,6,20,18,22,3,2
0,0,0,14,21,1,0,1,33,30
2,2,3,4,8,11,12,28,29,1
1,1,1,11,16,21,21,26,1,1
3,0,0,0,0,0,0,32,33,32
1,1,1,1,5,15,20,25,30,1
2,3,0,5,7,12,16,18,18,19
2,0,6,1,0,0,22,0,40,29
0,2,5,4,10,15,20,20,23,1
0,0,0,15,15,0,0,0,35,35
2,3,3,12,15,7,14,14,17,13
1,1,1,1,1,10,14,19,25,27
5,7,8,10,15,20,26,3,3,3
1,2,4,6,11,12,13,14,17,20
1,1,1,7,10,10,20,0,20,30
3,3,4,15,16,15,18,20,3,3
0,0,0,0,18,22,26,0,0,34
0,0,1,19,0,19,1,25,1,34
3,4,6,9,9,10,19,15,11,14
0,0,17,1,1,16,3,3,29,30
1,1,1,15,15,0,0,0,34,33
0,5,5,3,23,23,27,11,1,2
0,1,3,20,3,0,21,24,0,28
0,2,2,16,21,11,26,16,3,3
2,2,3,11,11,16,16,16,21,2
2,3,4,7,10,12,16,20,24,2
0,7,0,0,0,0,25,0,32,36
1,8,11,20,6,6,6,6,33,3
0,0,0,0,0,17,18,18,29,18
0,0,0,0,0,20,23,26,30,1
0,1,1,1,2,2,2,5,41,45
1,5,4,8,8,12,12,16,15,19
3,3,1,2,3,6,5,20,12,45
0,0,0,10,10,12,14,16,18,20
0,0,0,10,14,14,0,24,20,18
1,1,1,19,19,17,17,18,3,4
1,0,0,12,14,13,0,0,31,29
2,9,3,17,22,6,7,7,4,23
0,3,6,8,9,11,12,14,17,20
3,3,3,17,17,17,17,17,3,3
0,0,0,16,1,1,25,28,28,1
1,1,0,0,0,15,20,31,30,2
0,5,9,12,13,14,0,0,21,26
2,2,3,5,8,10,10,15,20,25
2,3,4,6,7,11,12,14,16,25
0,1,2,16,21,3,22,32,2,1
1,1,1,1,16,16,16,16,16,16
1,1,1,1,1,4,30,30,30,1
0,0,0,0,0,14,14,14,33,25
1,1,3,1,10,10,18,24,31,1
5,5,5,5,5,5,10,20,20,20
0,4,6,8,11,14,22,23,12,0
5,5,10,15,15,15,15,10,5,5
5,5,5,6,12,12,16,9,12,18
1,5,10,0,0,0,0,28,28,28
0,0,10,0,0,0,10,20,25,35
2,2,2,2,10,10,28,12,30,2
5,5,10,15,10,20,24,5,3,3
3,0,0,0,0,0,0,30,33,34
2,3,5,6,7,15,14,15,16,17
1,1,11,0,0,0,23,28,0,36
1,2,2,11,23,8,2,21,28,2
1,1,11,14,18,22,1,1,1,30
1,5,6,9,5,4,10,20,0,40
1,1,1,10,13,17,25,30,1,1
3,3,4,6,7,9,15,25,27,1
4,1,6,1,1,20,0,32,0,35
3,8,10,11,16,22,2,23,2,3
0,0,0,0,8,2,25,30,35,0
3,5,7,2,2,15,18,20,0,28
0,8,10,0,4,23,26,0,0,29
1,1,1,1,1,10,15,20,20,30
1,6,1,13,1,21,24,1,31,1
1,3,5,7,9,10,12,14,16,23
3,5,7,17,10,16,19,15,5,3
1,1,1,1,17,12,22,23,21,1
2,2,2,8,9,11,12,18,18,18
1,1,1,2,4,5,36,36,12,2
0,0,0,13,0,12,0,0,37,38
2,5,6,8,1,12,14,16,17,19
1,1,1,12,20,20,21,20,2,2
2,1,1,1,1,13,22,34,24,1
3,4,5,7,9,9,0,19,21,23
4,4,10,14,15,14,15,16,4,4
0,0,10,0,0,16,0,0,35,39
1,1,1,13,16,19,22,25,1,1
1,0,0,16,18,1,1,20,21,22
2,4,8,16,20,20,16,8,4,2
1,1,1,1,23,6,11,11,23,22
1,1,1,1,1,3,33,20,20,19
3,5,7,9,11,12,14,17,19,3
1,2,2,18,2,18,22,33,1,1
3,6,9,12,15,16,15,12,9,3
2,3,9,10,11,12,13,14,15,11
1,1,1,1,10,15,20,25,25,1
1,3,5,7,11,15,17,19,21,1
1,1,5,1,20,20,1,25,25,1
0,4,8,10,15,5,30,23,5,0
2,3,4,4,21,21,21,22,1,1
1,3,5,7,9,10,12,15,18,20
8,8,8,8,8,8,8,36,4,4
4,0,0,0,0,0,0,32,32,32
4,0,0,0,0,0,0,32,32,32
1,1,8,10,16,16,22,24,1,1
0,0,10,0,0,26,0,0,28,36
0,2,2,16,22,16,16,22,2,2
3,4,7,1,19,1,27,1,36,1
3,3,4,18,18,3,6,11,17,17
0,0,5,15,20,5,0,0,25,30
7,8,2,15,17,14,24,5,3,5
3,1,6,6,8,22,13,15,24,2
5,5,8,8,10,17,20,23,2,2
1,1,6,7,9,11,13,15,16,21
4,6,7,1,1,14,17,20,17,13
2,3,4,6,8,10,13,15,19,20
0,0,10,0,22,0,0,0,34,34
2,0,0,0,0,17,18,18,20,25
0,0,1,2,20,22,3,24,28,0
0,5,0,0,0,0,0,35,30,30
1,1,15,1,15,1,20,2,20,24
2,2,2,22,2,22,22,22,2,2
1,1,1,1,1,5,10,15,25,40
1,1,11,12,1,20,24,28,1,1
1,1,1,18,1,1,18,26,32,1
0,9,0,0,0,0,0,32,32,27
1,11,1,1,1,1,1,20,28,35
0,0,0,5,7,10,21,24,33,0
6,3,0,0,0,0,1,32,32,26
2,3,4,0,6,15,10,26,34,0
5,3,9,2,18,3,0,0,29,31
1,10,13,13,13,15,2,27,3,3
3,5,7,7,8,10,10,10,20,20
2,2,8,11,11,13,14,16,21,2
1,3,5,7,9,10,13,15,17,20
3,5,11,18,2,19,19,17,2,4
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,1,1,1,15,20,29,30,1,1
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
1,3,5,7,9,11,13,15,17,19
0,0,0,15,21,0,0,0,36,28
4,6,12,19,24,7,7,7,7,7
2,9,2,2,1,12,21,16,19,16
2,10,10,2,20,2,2,24,2,26
1,1,1,21,1,1,22,24,26,2
0,0,0,0,0,10,15,20,25,30
2,2,4,7,9,11,14,15,17,19
3,3,14,4,18,15,3,15,4,21
4,0,0,0,0,0,0,30,32,34
1,1,2,6,0,0,27,30,33,0
2,2,2,2,2,30,0,0,30,30
1,1,1,1,15,15,15,15,15,21
4,0,0,0,0,0,0,33,33,30
1,3,6,7,9,10,13,15,17,19
5,5,6,19,23,7,7,19,4,5
1,3,5,7,11,11,13,15,16,18
3,4,5,6,10,10,11,13,16,22
0,11,12,0,16,18,2,3,2,36
1,5,6,11,16,22,1,36,1,1
0,10,0,10,5,10,15,20,10,20
0,0,9,11,21,18,18,0,0,23
10,1,1,1,1,1,1,28,28,28
5,6,8,5,10,2,2,15,23,24
2,4,10,12,14,16,18,20,2,2
1,1,1,1,15,15,20,25,20,1
1,4,5,8,9,11,12,15,16,19
4,5,8,10,7,13,10,14,17,12
2,4,7,15,18,21,0,2,0,31
0,0,0,0,0,19,23,27,31,0
3,5,1,11,10,15,15,20,17,3
5,0,0,0,0,0,0,24,36,35
6,10,13,6,8,16,16,9,7,9
0,0,12,0,0,26,0,0,29,33
3,6,9,11,13,14,18,22,2,2
1,0,0,0,0,0,0,22,37,40
2,2,2,15,8,8,28,33,1,1
0,1,1,1,1,4,9,14,25,44
0,1,1,1,1,4,9,14,25,44
1,8,8,16,18,5,0,19,5,20
1,3,0,17,20,0,0,3,28,28
1,1,1,1,17,19,19,19,21,1
5,0,0,0,0,0,0,32,31,32
4,4,18,4,4,18,4,20,20,4
6,9,12,16,19,22,4,4,4,4
2,2,2,2,11,11,2,22,44,2
2,3,4,20,26,15,10,10,5,5
2,4,5,7,9,11,12,14,16,20
0,0,0,0,0,0,10,20,30,40
0,0,0,0,0,0,10,20,30,40
5,1,0,0,0,0,0,32,31,31
2,0,11,12,15,22,8,1,28,1
1,1,1,1,10,28,28,28,1,1
4,5,6,5,12,23,14,15,14,2
4,5,7,9,11,14,17,20,0,13
5,6,7,8,10,12,13,12,13,14
9,1,1,1,1,1,1,25,30,30
0,1,5,20,4,10,0,10,10,40
5,0,0,0,0,0,0,30,35,30
5,6,12,17,25,5,6,7,8,9
3,4,5,6,9,12,16,21,23,1
0,11,11,11,11,11,11,11,11,12
2,1,1,17,0,31,0,33,4,11
0,0,0,5,12,16,18,24,25,0
1,1,1,1,1,2,31,31,31,0
0,0,1,15,1,1,26,26,30,0
1,0,14,0,0,18,0,0,33,34
1,0,9,0,0,20,20,20,0,30
7,1,1,1,0,0,0,27,28,35
1,1,1,15,17,19,21,23,1,1
4,4,14,13,13,2,15,15,10,10
1,3,4,7,13,20,24,28,0,0
1,1,1,1,23,23,24,24,1,1
2,4,5,8,10,11,12,14,16,18
3,6,7,10,10,18,16,14,1,15
1,10,1,1,1,1,28,28,28,1
0,0,0,0,0,17,18,30,35,0
11,0,2,11,2,14,5,16,3,36
2,4,5,7,9,11,12,15,16,19
6,1,1,1,1,0,0,30,30,30
4,8,8,8,12,32,17,4,3,4
3,8,11,21,3,4,3,4,22,21
1,1,9,9,18,19,20,21,1,1
0,0,0,11,0,0,26,31,32,0
2,2,2,2,2,2,10,25,50,3
1,0,0,2,21,22,3,24,27,0
1,2,6,20,20,20,26,1,2,2
0,0,0,0,17,21,0,26,36,0
2,3,4,5,8,12,16,24,26,0
7,7,7,13,13,7,11,11,11,13
2,4,6,8,10,10,12,14,16,18
2,4,6,6,6,21,25,30,0,0
1,4,7,9,11,13,16,18,20,1
2,2,11,11,11,18,21,22,1,1
0,2,0,11,11,0,25,24,27,0
2,4,6,7,9,11,13,14,16,18
2,4,6,7,9,11,13,14,16,18
5,5,5,5,5,10,10,15,15,25
5,0,1,10,9,12,5,0,18,40
1,2,3,4,5,6,7,8,9,55
2,4,7,7,8,15,18,18,20,1
1,7,1,1,13,17,22,36,1,1
3,4,5,13,0,0,0,0,35,40
4,6,8,9,10,11,12,13,13,14
1,2,5,5,7,20,20,20,20,0
2,3,3,6,19,15,19,22,11,0
1,1,1,22,9,22,1,22,1,20
2,4,5,7,9,10,13,15,16,19
0,0,0,11,0,0,27,31,31,0
2,4,6,8,10,12,14,18,25,1
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,0,5,10,0,0,24,24,35,0
2,4,5,7,9,11,13,15,16,18
1,1,1,1,19,19,19,19,19,1
2,2,2,18,18,18,18,18,2,2
0,3,5,0,10,16,25,21,20,0
6,0,0,0,0,0,0,32,31,31
1,2,5,17,11,13,16,18,0,17
1,1,1,2,30,1,2,2,30,30
10,10,10,10,20,20,5,5,5,5
1,1,1,1,1,1,40,26,15,13
5,0,0,0,0,0,0,30,30,35
5,0,0,0,0,0,0,30,30,35
0,0,0,5,9,14,21,21,30,0
3,6,6,16,19,12,12,20,3,3
1,1,2,0,0,24,24,24,24,0
2,1,2,5,5,20,20,20,25,0
5,5,10,10,10,10,10,10,10,20
0,0,8,11,15,18,22,0,26,0
1,0,0,0,1,14,34,34,14,2
3,5,6,8,0,12,14,15,17,20
0,0,17,0,0,0,29,23,2,29
4,8,14,2,12,10,22,6,3,19
1,1,2,15,19,0,11,14,17,20
3,6,9,12,15,0,0,0,26,29
2,8,8,8,8,30,2,30,2,2
0,0,0,0,16,19,0,30,35,0
1,1,4,4,10,20,20,20,20,0
1,1,1,0,0,20,20,22,35,0
1,2,5,13,17,0,26,0,36,0
0,0,1,1,2,3,6,12,25,50
0,0,0,0,0,20,0,0,40,40
1,5,0,7,8,21,0,28,30,0
5,5,20,5,5,20,5,5,10,20
1,1,4,12,20,20,20,20,1,1
7,0,0,0,0,0,0,26,31,36
0,1,1,10,0,0,29,29,30,0
7,0,0,0,0,0,0,31,31,31
0,0,11,11,1,20,22,34,1,0
0,10,0,0,0,0,0,30,30,30
5,6,7,8,9,10,11,12,13,19
0,0,0,0,19,23,0,27,31,0
2,2,2,15,20,20,20,15,2,2
4,5,7,11,13,15,18,25,1,1
0,0,0,0,10,15,20,25,30,0
0,0,7,10,12,14,17,19,21,0
2,3,4,20,23,13,4,7,0,24
0,0,8,11,0,22,28,31,0,0
1,1,15,19,19,1,11,11,11,11
6,5,5,25,18,13,10,7,6,5
0,0,0,0,0,25,25,25,25,0
5,6,7,8,9,11,12,13,14,15
5,6,7,8,9,11,12,13,14,15
5,6,8,10,1,16,21,31,1,1
1,1,4,5,10,15,21,41,1,1
1,1,1,21,1,1,21,21,31,1
0,0,0,16,20,20,21,21,1,1
0,0,0,0,0,10,10,15,25,40
6,6,7,0,0,0,21,25,0,35
1,1,1,16,18,20,20,21,1,1
2,2,2,2,12,20,25,35,0,0
1,1,1,1,1,12,12,24,1,46
5,0,0,0,0,0,0,35,30,30
5,7,9,11,13,15,17,19,1,3
5,6,7,8,12,0,19,21,21,1
3,5,7,9,11,13,15,17,19,1
3,5,7,9,11,13,15,17,19,1
5,6,7,8,9,10,11,12,14,18
1,1,1,11,11,20,25,30,0,0
6,0,0,0,0,0,0,34,30,30
7,0,0,0,0,0,0,35,32,26
0,0,0,13,15,18,26,28,0,0
1,1,10,12,13,14,15,16,17,1
5,5,5,5,0,0,0,10,30,40
5,6,7,8,9,10,11,14,15,15
1,1,1,1,1,5,5,10,25,50
1,0,0,20,20,0,0,0,35,24
0,0,11,12,17,0,25,0,35,0
1,1,1,14,12,12,14,14,30,1
1,0,0,12,0,12,25,25,25,0
0,0,8,10,12,14,17,19,20,0
0,0,0,14,17,20,23,26,0,0
2,2,4,0,22,10,12,13,0,35
1,1,0,9,14,20,25,30,0,0
2,4,6,7,8,15,23,35,0,0
8,0,0,0,0,0,0,31,31,30
1,2,22,1,1,22,1,1,27,22
0,0,0,0,21,21,0,29,29,0
0,0,5,15,5,10,20,20,25,0
0,0,0,10,15,16,17,18,24,0
3,3,6,15,20,25,25,1,1,1
0,0,0,0,20,23,0,30,27,0
0,0,0,20,0,10,20,30,0,20
9,9,9,10,11,12,12,15,5,8
1,1,6,10,20,25,20,15,1,1
7,13,9,4,12,14,8,13,9,11
4,0,7,0,0,11,0,0,38,40
0,7,0,14,0,21,25,0,33,0
4,6,9,11,16,18,0,0,0,36
1,1,1,1,1,1,4,20,20,50
0,14,0,0,0,0,0,28,29,29
5,8,11,1,1,17,21,1,34,1
1,1,1,15,20,20,20,20,1,1
0,0,0,12,0,0,18,30,40,0
4,1,5,10,25,0,0,0,30,25
2,2,10,2,30,36,3,3,6,6
1,1,1,1,1,1,13,40,40,1
1,4,14,22,1,12,12,12,11,11
1,1,2,2,26,10,15,15,26,2
0,0,11,14,0,21,25,29,0,0
10,10,10,10,12,16,23,3,3,3
4,5,6,7,20,25,30,1,1,1
2,4,6,9,11,14,16,18,20,0
3,3,1,1,1,1,10,35,44,1
1,0,19,1,1,21,0,23,0,34
1,0,19,1,1,21,0,23,0,34
9,9,9,9,9,9,9,9,9,19
1,0,0,26,1,1,26,26,17,2
10,0,0,0,0,0,0,25,37,28
0,11,0,0,16,19,22,31,0,1
0,0,0,15,15,20,25,25,0,0
0,0,0,0,0,0,26,32,42,0
0,4,0,0,22,22,22,30,0,0
5,8,8,10,17,22,27,1,1,1
2,4,6,12,16,18,20,22,0,0
0,0,0,0,23,24,25,0,28,0
10,1,1,1,1,1,1,39,20,25
7,8,8,1,1,18,18,1,37,1
0,0,0,0,0,10,20,30,40,0
1,2,0,0,17,20,25,35,0,0
1,0,0,0,0,0,30,30,39,0
0,0,0,15,15,15,25,30,0,0
6,7,9,12,16,21,26,1,1,1
0,0,2,2,5,5,29,1,1,55
4,0,0,0,0,0,0,41,31,24
7,11,11,11,12,21,21,2,2,2
0,0,0,20,0,0,26,26,28,0
7,13,7,13,4,16,4,16,2,18
1,6,11,11,12,13,14,15,16,1
0,8,9,10,13,15,20,0,25,0
1,1,2,2,2,10,10,20,50,2
1,0,9,15,0,20,25,30,0,0
6,8,10,12,14,0,0,0,24,26
2,5,7,20,21,8,13,20,2,2
1,1,2,2,2,3,4,8,18,59
1,8,8,0,16,17,0,25,25,0
0,0,0,0,0,25,0,34,41,0
5,5,0,0,0,0,0,20,30,40
5,6,10,3,4,5,4,54,4,5
10,0,0,0,0,0,0,30,30,30
10,0,0,0,0,0,0,30,30,30
1,1,1,1,1,1,50,25,12,7
1,1,1,1,1,1,1,1,46,46
1,9,1,1,14,19,25,30,0,0
0,0,0,20,0,0,0,0,40,40
1,0,0,9,0,15,0,35,40,0
4,6,9,16,21,0,0,0,27,17
5,5,13,14,17,21,22,1,1,1
8,10,7,5,11,13,3,15,26,2
0,0,0,17,19,20,21,23,0,0
0,0,0,15,20,20,20,25,0,0
10,11,10,10,11,11,11,11,10,5
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10
4,7,9,15,21,0,0,0,27,17
2,4,0,0,0,0,0,9,40,45
0,1,1,17,20,20,20,20,1,0
5,7,9,13,1,16,16,17,15,1
2,5,10,10,15,15,20,23,0,0
2,11,11,11,11,11,12,12,17,2
3,6,0,14,0,22,25,30,0,0
1,9,9,8,1,7,2,6,3,54
5,7,10,12,15,17,31,1,1,1
0,0,0,0,15,20,0,40,25,0
1,6,14,19,1,15,21,21,1,1
0,0,10,15,15,15,15,15,15,0
0,10,0,0,15,25,25,25,0,0
2,2,2,8,0,19,26,41,0,0
3,0,7,10,20,0,30,30,0,0
1,1,1,11,19,27,37,1,1,1
2,3,5,0,0,0,15,25,0,50
0,0,0,0,0,0,0,20,30,50
8,9,9,10,0,0,0,30,0,34
3,4,8,15,18,23,29,0,0,0
1,4,6,14,18,24,33,0,0,0
5,5,8,10,14,14,12,17,15,0
5,5,8,10,14,14,12,17,15,0
7,9,11,13,15,16,1,26,1,1
3,6,9,14,18,22,28,0,0,0
1,1,7,9,1,1,30,48,1,1
4,1,15,0,0,0,0,0,40,40
1,1,1,1,11,11,1,21,51,1
1,1,15,20,20,20,20,1,1,1
4,5,6,12,21,26,26,0,0,0
3,7,10,14,18,22,26,0,0,0
4,6,8,12,17,22,31,0,0,0
4,8,4,27,2,16,17,18,2,2
4,4,4,18,23,0,13,0,34,0
4,7,10,14,17,22,26,0,0,0
4,7,9,10,15,20,0,35,0,0
2,2,26,13,30,1,3,10,5,8
0,15,5,0,15,20,20,25,0,0
4,7,5,21,21,12,20,7,3,0
0,0,0,20,20,20,20,20,0,0
1,1,1,27,27,1,1,1,20,20
4,7,10,14,18,22,25,0,0,0
23,0,2,1,1,1,1,23,24,24
1,1,0,1,1,5,10,25,55,1
0,11,11,12,12,13,13,14,14,0
5,5,5,10,20,25,30,0,0,0
5,5,10,10,15,15,20,20,0,0
10,20,5,6,4,10,10,10,5,20
5,7,8,10,15,25,30,0,0,0
1,19,1,19,1,19,1,19,1,19
0,0,0,0,0,0,20,30,50,0
6,6,5,15,20,20,28,0,0,0
5,10,0,15,0,20,0,25,25,0
2,2,2,30,30,2,2,2,15,13
7,8,10,10,15,15,15,0,20,0
1,1,1,1,3,7,1,21,1,63
9,10,12,15,16,17,18,1,1,1
7,8,9,10,11,12,13,14,16,0
1,1,1,1,6,0,0,30,0,60
15,15,7,2,26,2,2,3,10,18
6,1,1,1,1,38,39,1,1,11
1,1,1,5,1,10,1,20,0,60
1,6,1,1,41,7,7,34,1,1
0,3,6,11,13,16,0,51,0,0
0,10,0,0,0,0,15,25,50,0
0,0,2,30,2,30,2,34,0,0
10,10,10,10,10,25,25,0,0,0
10,0,0,0,0,0,0,15,25,50
0,0,0,0,0,0,12,12,12,64
11,11,11,11,14,21,21,0,0,0
11,15,6,20,9,1,9,16,12,1
8,12,13,13,13,14,0,27,0,0
17,11,11,11,12,15,20,1,1,1
1,9,20,29,15,10,2,8,5,1
0,0,25,0,25,0,25,25,0,0
11,11,11,13,14,20,20,0,0,0
12,12,12,12,12,14,26,0,0,0
2,2,2,2,2,2,3,6,77,2
7,9,9,11,13,0,0,0,51,0
10,14,14,14,14,14,20,0,0,0
20,10,10,11,12,15,22,0,0,0
26,11,11,11,11,12,15,1,1,1
0,0,0,0,20,50,30,0,0,0
11,26,11,29,6,5,4,3,3,2
2,3,5,20,30,40,0,0,0,0
1,1,1,1,1,1,1,1,1,91
0,0,0,0,0,40,60,0,0,0
1,1,1,1,1,1,91,1,1,1
0,0,0,0,0,0,0,0,100,0
1,0,0,0,0,0,0,0,99,0
1,0,0,0,0,0,0,99,0,0
30,30,30,0,0,0,0,0,0,10
31,31,31,1,1,1,1,1,1,1
0,0,0,0,0,100,0,0,0,0
100,0,0,0,0,0,0,0,0,0
